State,ABV,R.D,Twitter_account,Total_death,Tot_cases,Total_test_result,2019_population,Cases_per_100k,Death_per_100k,Test_per_population,Total_tweet_num,Total_covid_tweet_num,Covid_tweet_ratio,Death_tweet_num,Death_tweet_ratio,Econ_tweet_num,Econ_tweet_ratio,Home_tweet_num,Home_tweet_ratio,Tech_tweet_num,Tech_tweet_ratio,Test_tweet_num,Test_tweet_ratio,Solution_tweet_num,Solution_tweet_ratio,Mask_tweet_num,Mask_tweet_ratio,Vaccine_tweet_num,Vaccine_tweet_ratio,Total_death_tweet_num,Total_death_tweet_ratio,Total_econ_tweet_num,Total_econ_tweet_ratio
Arkansas,AR,R,<AsaHutchinson>,"1,704","99,066",1215944,"3,017,804",3282.7,56.5,0.40292345,897,486,54.18%,1,0.21%,22,4.53%,53,10.91%,7,1.44%,79,16.26%,145,29.84%,54,11.11%,1,0.21%,8,0.89%,59,6.58%
North Dakota,ND,R,<DougBurgum>,408,"32,637",733088,"762,062",4282.7,53.5,0.961979471,481,232,48.23%,2,0.86%,16,6.90%,32,13.79%,9,3.88%,82,35.34%,108,46.55%,10,4.31%,1,0.43%,5,1.04%,49,10.19%
Arizona,AZ,R,<dougducey>,"5,827","231,149",1631023,"7,278,717",3175.7,80.1,0.224081112,2484,994,40.02%,5,0.50%,117,11.77%,61,6.14%,24,2.41%,294,29.58%,438,44.06%,99,9.96%,4,0.40%,13,0.52%,256,10.31%
California,CA,D,<GavinNewsom>,"16,943","867,317",16892062,"39,512,223",2195.1,42.9,0.427514848,785,285,36.31%,7,2.46%,9,3.16%,91,31.93%,27,9.47%,47,16.49%,161,56.49%,62,21.75%,1,0.35%,18,2.29%,26,3.31%
Texas,TX,R,<GovAbbott>,"17,014","823,779",7326919,"28,995,881",2841.0,58.7,0.25268827,453,178,39.29%,0,0.00%,21,11.80%,21,11.80%,1,0.56%,33,18.54%,57,32.02%,10,5.62%,1,0.56%,3,0.66%,58,12.80%
Kentucky,KY,D,<GovAndyBeshear>,"1,317","87,607",1674648,"4,467,673",1960.9,29.5,0.374836744,1634,850,52.02%,27,3.18%,50,5.88%,42,4.94%,15,1.76%,108,12.71%,252,29.65%,124,14.59%,4,0.47%,45,2.75%,101,6.18%
Tennessee,TN,R,<GovBillLee>,"2,909","228,744",3340819,"6,829,174",3349.5,42.6,0.489198108,950,401,42.21%,2,0.50%,71,17.71%,28,6.98%,4,1.00%,142,35.41%,185,46.13%,28,6.98%,2,0.50%,14,1.47%,174,18.32%
New Hampshire,NH,R,<GovChrisSununu>,467,"9,694",538613,"1,359,711",712.9,34.3,0.396123147,1309,446,34.07%,1,0.22%,45,10.09%,45,10.09%,15,3.36%,96,21.52%,157,35.20%,28,6.28%,0,0.00%,9,0.69%,163,12.45%
Alaska,AK,R,<GovDunleavy>,67,"10,980",532711,"731,545",1500.9,9.2,0.728199906,413,206,49.88%,12,5.83%,44,21.36%,11,5.34%,2,0.97%,27,13.11%,38,18.45%,6,2.91%,0,0.00%,15,3.63%,91,22.03%
Montana,MT,D,<GovernorBullock>,241,"22,821",431134,"1,068,778",2135.2,22.5,0.403389666,606,270,44.55%,16,5.93%,38,14.07%,67,24.81%,9,3.33%,64,23.70%,174,64.44%,79,29.26%,1,0.37%,20,3.30%,71,11.72%
Wyoming,WY,R,<GovernorGordon>,57,"9,025",117779,"578,759",1559.4,9.8,0.203502667,318,131,41.19%,5,3.82%,18,13.74%,47,35.88%,4,3.05%,29,22.14%,70,53.44%,8,6.11%,0,0.00%,11,3.46%,45,14.15%
Alabama,AL,R,<GovernorKayIvey>,"2,788","172,626",1253896,"4,903,185",3520.7,56.9,0.255730918,900,273,30.33%,7,2.56%,36,13.19%,34,12.45%,5,1.83%,34,12.45%,110,40.29%,46,16.85%,3,1.10%,15,1.67%,99,11.00%
Idaho,ID,R,<GovernorLittle>,528,"53,092",350312,"1,787,065",2970.9,29.5,0.196026446,428,122,28.50%,2,1.64%,29,23.77%,5,4.10%,3,2.46%,17,13.93%,34,27.87%,13,10.66%,1,0.82%,5,1.17%,75,17.52%
Pennsylvania,PA,D,<GovernorTomWolf>,"8,492","182,212",2314863,"12,801,989",1423.3,66.3,0.180820574,1233,588,47.69%,13,2.21%,124,21.09%,102,17.35%,8,1.36%,69,11.73%,266,45.24%,137,23.30%,1,0.17%,41,3.33%,188,15.25%
Virginia,VA,D,<GovernorVA>,"3,457","166,828",2386778,"8,535,519",1954.5,40.5,0.279628925,909,385,42.35%,6,1.56%,34,8.83%,31,8.05%,14,3.64%,102,26.49%,152,39.48%,23,5.97%,2,0.52%,13,1.43%,82,9.02%
Wisconsin,WI,D,<GovEvers>,"1,588","175,227",1765796,"5,822,434",3009.5,27.3,0.303274541,961,350,36.42%,10,2.86%,29,8.29%,60,17.14%,3,0.86%,66,18.86%,172,49.14%,68,19.43%,3,0.86%,25,2.60%,105,10.93%
Hawaii,HI,D,<GovHawaii>,187,"13,989",473581,"1,415,872",988.0,13.2,0.334480094,697,345,49.50%,29,8.41%,38,11.01%,63,18.26%,3,0.87%,93,26.96%,150,43.48%,13,3.77%,1,0.29%,37,5.31%,85,12.20%
Utah,UT,R,<GovHerbert>,543,"94,394",973938,"3,205,958",2944.3,16.9,0.303790006,680,290,42.65%,5,1.72%,18,6.21%,65,22.41%,9,3.10%,61,21.03%,163,56.21%,57,19.66%,0,0.00%,11,1.62%,43,6.32%
Indiana,IN,R,<GovHolcomb>,"3,937","147,582",2512174,"6,732,219",2192.2,58.5,0.373156904,1158,459,39.64%,2,0.44%,47,10.24%,57,12.42%,6,1.31%,45,9.80%,128,27.89%,32,6.97%,0,0.00%,19,1.64%,124,10.71%
Washington,WA,D,<GovInslee>,"2,239","98,201",2214560,"7,614,893",1289.6,29.4,0.290819582,1193,456,38.22%,11,2.41%,46,10.09%,103,22.59%,8,1.75%,69,15.13%,222,48.68%,70,15.35%,4,0.88%,32,2.68%,94,7.88%
